index,auc,auc_rnn,ratio,increase
164,0.893,0.8498,1.050835490703695,0.050835490703694974
165,0.9553,0.7651,1.2485949549078552,0.24859495490785521
166,0.9694,0.7645,1.2680183126226292,0.2680183126226292
167,0.8968,0.7442,1.2050524052674014,0.20505240526740143
168,0.9388,0.5148,1.8236208236208233,0.8236208236208233
169,0.9283,0.5043,1.8407693833035892,0.8407693833035892
170,0.9432,0.5101,1.849049206038032,0.8490492060380319
171,0.9027,0.6635,1.3605124340617936,0.36051243406179356
172,0.9789,0.6499,1.5062317279581474,0.5062317279581474
173,0.9201,0.7132,1.290100953449243,0.2901009534492429
174,0.9388,0.846,1.109692671394799,0.10969267139479899
175,0.9661,0.7809,1.2371622486874119,0.23716224868741187
176,0.8883,0.7118,1.2479629109300365,0.24796291093003653
177,0.9897,0.7414,1.3349069328297816,0.33490693282978157
178,0.9898,0.7273,1.3609239653512994,0.36092396535129945
179,0.8097,0.7302,1.108874281018899,0.10887428101889896
